Nom de la région,Différence en %,Revenu femme (€),Revenu homme (€),Ecart (€)
Ile de France,23,24960,32220,7760
Hauts-de-France,25,17360,23300,5940
Grand Est,27,17160,23460,6300
Normandie,26,17530,23660,6130
Bretagne,25,16860,22590,5730
Pays de la Loire,27,16860,23180,6160
Centre-Val de Loire,24,18080,23710,5630
Bourgogne,26,16660,22510,5850
Nouvelle-Aquitaine,23,17260,22550,5290
Auvergne-Rhône-Alpes,27,18040,24740,6700
Occitanie,26,17180,23230,6050
Provence Alpes Côtes d'Azur,26,17560,23710,6150
Corse,21,16010,20260,4250
